StateWellNumber,ParameterDescription_x,TOTAL DISSOLVED SOLIDS,wkt_geom,County,AquiferCode,WellDepth,Date,Time,SampleNumber,EntityId,LabId,ReliabilityId,CollectionRemarks,LatitudeDD,LongitudeDD,ParameterCode,ParameterDescription_y,ARSENIC,ParameterUnit
1449825,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.904,Point (-98.95222300000000359 34.16500099999999662),Wichita,110ALVM,40,8/9/2006,1348,TRUE,1,24,7,Analysis Balanced. faucet at well,34.165001,-98.952223,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2.1,ug/L
1459201,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.648,Point (-98.67361110000000224 34.11916670000000096),Wichita,110ALVM,20,7/12/2006,1540,TRUE,1,24,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.1191667,-98.6736111,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1460614,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.547,Point (-98.52500000000000568 34.0780549999999991),Wichita,110ALVM,55,8/3/2010,1502,TRUE,1,24,7,Analysis Unbalanced.,34.078055,-98.525,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
1461411,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.695,Point (-98.46722200000000669 34.04749999999999943),Wichita,110ALVM,65,7/12/2006,940,TRUE,1,24,7,Analysis Balanced.,34.0475,-98.467222,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",1,ug/L
1461413,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.359,Point (-98.46722219999999481 34.04861110000000224),Wichita,110ALVM,61,7/2/2015,926,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,34.0486111,-98.4672222,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
2119201,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.965,Point (-99.67361099999999396 33.74583400000000211),Knox,110ALVM,37,7/13/2022,1400,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,33.745834,-99.673611,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3.49,ug/L
2127803,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.637,Point (-99.69027780000000405 33.53916670000000266),Knox,110ALVM,29,8/22/2006,1545,TRUE,1,24,7,Analysis Balanced. faucet at well in cellar,33.5391667,-99.6902778,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3,ug/L
2128711,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.277,Point (-99.60361199999999826 33.53416699999999651),Knox,112SYMR,37,8/23/2006,1327,TRUE,1,24,7,Analysis Balanced. faucet at well in cellar,33.534167,-99.603612,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2.5,ug/L
2128915,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.632,Point (-99.53499999999999659 33.53000000000000114),Knox,112SYMR,52,8/23/2006,1429,TRUE,1,24,7,Analysis Balanced. faucet at well,33.53,-99.535,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",11,ug/L
2130301,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.508,Point (-99.28416699999999651 33.60833399999999926),Baylor,110ALVM,28,7/13/2010,1415,TRUE,10,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,33.608334,-99.284167,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",4.4,ug/L
2130319,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.168,Point (-99.28166699999999878 33.60444499999999834),Baylor,110ALVM,33,8/10/2006,1013,TRUE,1,24,7,Analysis Balanced. installed faucet at well,33.604445,-99.281667,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",4,ug/L
2134220,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.022,Point (-99.83333399999999358 33.47083299999999895),Knox,110ALVM,30,8/23/2006,1115,TRUE,1,24,7,Analysis Balanced. faucet in well house,33.470833,-99.833334,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3.2,ug/L
2134802,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.142,Point (-99.8238410000000016 33.41680480000000131),Knox,110ALVM,38,7/14/2022,1513,TRUE,1,23,7,Analysis Balanced.,33.4168048,-99.823841,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2.73,ug/L
2134855,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",3.42,Point (-99.81777800000000411 33.4152780000000007),Knox,110ALVM,48,8/24/2006,954,TRUE,1,24,7,Analysis Balanced. faucet at well,33.415278,-99.817778,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",6,ug/L
2135103,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.949706,Point (-99.7305549999999954 33.48916700000000191),Knox,110ALVM,45,8/22/2006,1508,TRUE,1,24,7,Analysis Balanced. faucet at well,33.489167,-99.730555,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3.3,ug/L
2135747,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.591,Point (-99.72833300000000634 33.39000000000000057),Haskell,110ALVM,80,8/23/2006,1035,TRUE,1,24,7,Analysis Balanced. faucet at well,33.39,-99.728333,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",5,ug/L
2141331,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.487,Point (-99.91416700000000617 33.370277999999999),Haskell,110ALVM,47,6/16/2010,1345,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,33.370278,-99.914167,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
2141407,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.486,Point (-99.98777800000000582 33.30555600000000283),Haskell,110ALVM,30,8/23/2006,1626,TRUE,1,24,7,Analysis Unbalanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,33.305556,-99.987778,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2.69,ug/L
2142401,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.896,Point (-99.854723000000007 33.31500100000000231),Haskell,110ALVM,54,6/16/2010,915,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,33.315001,-99.854723,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
2142459,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.695911,Point (-99.85500100000000145 33.31500100000000231),Haskell,110ALVM,60,8/22/2006,1446,TRUE,1,24,7,Analysis Balanced. faucet at well,33.315001,-99.855001,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
2143102,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.809,Point (-99.71805500000000677 33.3594450000000009),Haskell,110ALVM,62,8/22/2006,857,TRUE,1,24,7,Analysis Balanced. faucet at well,33.359445,-99.718055,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
2149509,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.526,Point (-99.91916700000000162 33.20805599999999913),Haskell,110ALVM,90,8/22/2006,1557,TRUE,1,24,7,Analysis Balanced. faucet at well,33.208056,-99.919167,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
2149603,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.964,Point (-99.89833400000000552 33.18555599999999828),Haskell,112SYMR,54,7/20/2022,1546,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,33.185556,-99.898334,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3.43,ug/L
2150428,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.896,Point (-99.87472200000000555 33.19055600000000084),Haskell,112SYMR,46,8/24/2006,1120,TRUE,1,24,7,Analysis Balanced. faucet at house,33.190556,-99.874722,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
2151426,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.959,Point (-99.74444499999999891 33.17361100000000107),Haskell,112SYMR,50,8/24/2006,838,TRUE,1,24,7,Analysis Balanced. faucet at well,33.173611,-99.744445,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",4,ug/L
2151742,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",2.15,Point (-99.73166670000000522 33.15277780000000263),Haskell,110ALVM,0,7/20/2022,1407,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,33.1527778,-99.7316667,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",4.13,ug/L
2252110,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.744,Point (-100.62207499999999527 33.24461389999999739),Kent,110AHTP,75,4/28/2015,1458,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,33.2446139,-100.622075,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2.93,ug/L
2252701,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",4.111,Point (-100.6094449999999938 33.16500099999999662),Kent,110ALVM,55,7/11/2006,1140,TRUE,1,24,7,Analysis Balanced.,33.165001,-100.609445,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",6,ug/L
2254201,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.95,Point (-100.30222299999999791 33.22166699999999651),Stonewall,110ALVM,46,7/21/2022,1332,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,33.221667,-100.302223,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3.75,ug/L
2915503,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",3.923,Point (-100.17249999999999943 32.81638900000000092),Fisher,110ALVM,55,7/21/2022,1345,TRUE,1,23,7,Analysis Unbalanced.,32.816389,-100.1725,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",12.5,ug/L
2923606,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",2.126,Point (-100.13416669999999442 32.66972220000000249),Jones,110ALVM,37,7/21/2022,1619,TRUE,1,23,7,Analysis Unbalanced.,32.6697222,-100.1341667,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3.23,ug/L
3018502,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.791,Point (-99.81083329999999876 32.68666670000000352),Jones,112SYMR,0,7/10/2006,1347,TRUE,1,24,7,Analysis Balanced.,32.6866667,-99.8108333,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
3019111,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.99,Point (-99.7386110000000059 32.73833400000000182),Jones,110ALVM,34,7/10/2006,1505,TRUE,1,24,7,Analysis Balanced.,32.738334,-99.738611,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
3019710,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",3.389,Point (-99.73777800000000582 32.66277800000000298),Jones,112SYMR,68,6/14/2010,1030,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.662778,-99.737778,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2,ug/L
3026407,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",2.202,Point (-99.85027800000000298 32.56972199999999873),Jones,110ALVM,20,6/14/2010,1137,TRUE,10,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,32.569722,-99.850278,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",4.63,ug/L
554811,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.809,Point (-100.3063889999999958 35.16555600000000226),Collingsworth,110ALVM,95,7/26/2006,1345,TRUE,1,24,7,Analysis Balanced.,35.165556,-100.306389,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",2.24,ug/L
554812,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",0.782,Point (-100.3063889999999958 35.16500099999999662),Collingsworth,110ALVM,110,8/10/2015,1558,TRUE,1,23,7,Analysis Balanced. Lab Calculated Anion/Cation Chg Bal set to TWDB Calculated Value due to an error in the lab calculated formula,35.165001,-100.306389,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3.4,ug/L
561911,"TOTAL DISSOLVED SOLIDS , SUM OF CONSTITUENTS (MG/L)",1.834,Point (-100.37749999999999773 35.01111199999999712),Collingsworth,112SYMR,90,9/22/2004,1005,TRUE,1,24,7,Analysis Balanced. Well produces sand.,35.011112,-100.3775,1000,"ARSENIC, DISSOLVED (UG/L AS AS)",3,ug/L
